ph,Solids,Turbidity,Potability
5.22,2212.99,11.56,0
7.78,408.31,3.55,1
7.62,329.31,1.79,1
9.45,1831.06,6.51,0
8.43,347.38,1.31,1
4.79,1296.92,6.98,0
9.55,292.15,11.43,0
9.31,700.27,5.91,0
7.84,138.73,2.03,1
7.46,400.35,2.86,1
7.64,237.73,2.29,1
4.89,1145.21,6.12,0
7.49,306.02,4.96,1
7.68,447.79,1.98,1
7.53,185.7,2.86,1
6.52,284.82,3.09,1
5.02,31.6,1.93,0
6.11,2911.9,6.98,0
8.26,276.58,2.27,1
10.07,294.5,12.56,0
3.96,1569.16,8.55,0
3.38,1079.0,9.35,0
3.58,1022.15,10.64,0
9.34,1425.53,13.48,0
7.26,281.43,1.39,1
6.9,381.25,3.86,1
5.29,468.62,16.8,0
8.88,2218.5,12.69,0
7.55,101.24,2.28,1
7.9,209.06,3.9,1
11.5,380.97,3.78,0
8.93,1821.26,10.83,0
7.9,321.18,5.32,0
7.14,367.96,1.77,1
8.68,736.54,9.52,0
10.41,2074.48,3.46,0
7.22,198.72,2.81,1
7.76,351.5,6.35,1
4.13,1158.47,9.28,0
4.37,1320.18,6.08,0
10.95,1414.13,6.37,0
9.37,0.0,0.0,0
9.24,0.0,16.39,0
8.75,2020.37,9.54,0
7.51,201.85,2.96,1
9.0,1044.58,15.47,0
8.26,714.77,11.19,0
6.74,255.35,3.36,1
6.29,0.0,8.07,0
8.04,306.43,1.42,1
8.22,156.41,3.66,1
6.84,352.19,2.8,1
7.09,292.29,2.84,1
4.3,2450.93,12.02,0
9.1,0.0,8.24,0
7.65,381.29,3.13,1
3.31,362.8,13.3,0
7.61,175.43,2.67,1
7.75,286.17,3.15,1
7.62,108.67,0.78,1
7.35,333.13,3.48,1
3.35,2110.87,0.0,0
7.74,292.72,1.65,1
10.15,897.67,5.22,0
6.15,1846.74,1.21,0
4.49,1034.96,15.37,0
4.2,537.35,5.45,0
8.56,403.25,0.98,1
5.28,2477.58,11.33,0
7.79,413.56,3.45,1
9.26,835.01,0.0,0
7.16,1493.91,4.0,0
8.27,221.67,2.18,1
9.72,381.42,8.25,0
5.08,347.6,7.2,0
8.01,1258.17,5.86,0
7.61,304.56,1.85,1
7.47,0.0,1.48,1
7.66,247.02,3.01,1
7.38,158.46,2.08,1
7.7,173.91,3.42,1
4.1,2751.84,5.96,0
7.69,211.61,2.65,1
5.66,721.98,14.15,0
5.38,1293.28,5.3,0
8.78,186.25,12.58,0
3.98,2117.43,8.05,0
7.6,104.03,1.17,1
3.39,383.13,12.88,0
9.4,1785.24,11.65,0
7.77,253.66,2.03,1
7.44,269.89,1.02,1
10.85,1206.93,16.16,0
5.57,901.77,13.24,0
4.0,741.39,15.72,0
6.78,256.0,2.63,1
9.94,517.88,16.51,0
7.0,243.37,2.6,1
7.63,292.56,0.58,1
